"filename", "language", "Python", "HTML", "SCSS", "JavaScript", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\admin.py", "Python", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\migrations\0001_initial.py", "Python", 36, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\models.py", "Python", 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\static\blog.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\static\staff.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\static\students.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\classes.html", "HTML", 0, 206, 0, 0, 0, 0, 0, 6, 5, 217
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\contact-list.html", "HTML", 0, 229, 0, 0, 0, 0, 0, 10, 6, 245
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\dashboard.html", "HTML", 0, 455, 0, 0, 0, 0, 0, 0, 0, 455
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\edit-blogs.html", "HTML", 0, 179, 0, 0, 0, 0, 0, 7, 7, 193
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\edit-fees.html", "HTML", 0, 113, 0, 0, 0, 0, 0, 3, 2, 118
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\messages.html", "HTML", 0, 66, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\pending-photos.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\randoms.html", "HTML", 0, 104, 0, 0, 0, 0, 0, 4, 3, 111
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\staff.html", "HTML", 0, 325, 0, 0, 0, 0, 0, 10, 7, 342
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\students.html", "HTML", 0, 295, 0, 0, 0, 0, 0, 6, 6, 307
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\admin-page\website.html", "HTML", 0, 72, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\templates\empty.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\urls.py", "Python", 30, 0, 0, 0, 0, 0, 0, 1, 11, 42
"c:\Users\xandee\Desktop\python\django\jfs\admin_page\views.py", "Python", 332, 0, 0, 0, 0, 0, 0, 1, 35, 368
"c:\Users\xandee\Desktop\python\django\jfs\base\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xandee\Desktop\python\django\jfs\base\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\xandee\Desktop\python\django\jfs\base\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\xandee\Desktop\python\django\jfs\base\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xandee\Desktop\python\django\jfs\base\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\animate.css", "CSS", 0, 0, 0, 0, 0, 2825, 0, 30, 522, 3377
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\aos.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\bootstrap\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 1599, 0, 6, 104, 1709
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\bootstrap\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 212, 0, 7, 54, 273
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 212, 0, 7, 54, 273
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\css\mixins\_text-hide.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\flaticon.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 5, 6, 46
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\icomoon.css", "CSS", 0, 0, 0, 0, 0, 4914, 0, 2, 4, 4920
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\ionicons.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 10, 0, 11
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\magnific-popup.css", "CSS", 0, 0, 0, 0, 0, 310, 0, 6, 35, 351
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\open-iconic-bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\owl.carousel.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\owl.theme.default.min.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 5, 0, 15
"c:\Users\xandee\Desktop\python\django\jfs\base\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 11723, 0, 19, 901, 12643
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\flaticon\font\Flaticon.svg", "XML", 0, 0, 0, 0, 189, 0, 0, 3, 2, 194
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\flaticon\font\_flaticon.scss", "SCSS", 0, 0, 47, 0, 0, 0, 0, 4, 5, 56
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\flaticon\font\flaticon.css", "CSS", 0, 0, 0, 0, 0, 32, 0, 4, 4, 40
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\flaticon\font\flaticon.html", "HTML", 0, 449, 0, 0, 0, 0, 0, 4, 42, 495
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\icomoon\icomoon.svg", "XML", 0, 0, 0, 0, 1530, 0, 0, 0, 0, 1530
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\ionicons\css\_ionicons.scss", "SCSS", 0, 0, 736, 0, 0, 0, 0, 11, 734, 1481
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\ionicons\css\ionicons.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 9, 1, 12
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\ionicons\fonts\ionicons.svg", "XML", 0, 0, 0, 0, 2091, 0, 0, 3, 1, 2095
"c:\Users\xandee\Desktop\python\django\jfs\base\static\fonts\open-iconic\open-iconic.svg", "XML", 0, 0, 0, 0, 540, 0, 0, 3, 1, 544
"c:\Users\xandee\Desktop\python\django\jfs\base\static\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\aos.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\google-map.js", "JavaScript", 0, 0, 0, 184, 0, 0, 0, 11, 13, 208
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery-3.2.1.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 1, 0, 4
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery-migrate-3.0.1.min.js", "JavaScript", 0, 0, 0, 213, 0, 0, 0, 1, 1, 215
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery.animateNumber.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 5, 1, 9
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery.easing.1.3.js", "JavaScript", 0, 0, 0, 132, 0, 0, 0, 70, 3, 205
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery.magnific-popup.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 3, 0, 4
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery.min.js", "JavaScript", 0, 0, 0, 6624, 0, 0, 0, 1697, 1932, 10253
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery.stellar.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\jquery.waypoints.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\main.js", "JavaScript", 0, 0, 0, 205, 0, 0, 0, 11, 46, 262
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\owl.carousel.min.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\popper.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\xandee\Desktop\python\django\jfs\base\static\js\scrollax.min.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 18, 0, 32
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_alert.scss", "SCSS", 0, 0, 28, 0, 0, 0, 0, 13, 11, 52
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_badge.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 12, 9, 54
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_breadcrumb.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 8, 5, 42
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_button-group.scss", "SCSS", 0, 0, 101, 0, 0, 0, 0, 31, 32, 164
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_buttons.scss", "SCSS", 0, 0, 88, 0, 0, 0, 0, 23, 30, 141
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_card.scss", "SCSS", 0, 0, 223, 0, 0, 0, 0, 30, 58, 311
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_carousel.scss", "SCSS", 0, 0, 143, 0, 0, 0, 0, 30, 26, 199
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_close.scss", "SCSS", 0, 0, 28, 0, 0, 0, 0, 9, 8, 45
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_code.scss", "SCSS", 0, 0, 36, 0, 0, 0, 0, 6, 7, 49
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_custom-forms.scss", "SCSS", 0, 0, 391, 0, 0, 0, 0, 42, 75, 508
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_dropdown.scss", "SCSS", 0, 0, 154, 0, 0, 0, 0, 14, 24, 192
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_forms.scss", "SCSS", 0, 0, 207, 0, 0, 0, 0, 74, 54, 335
"c:\Users\xandee\Desktop\python\django\jfs\base\static\scss\bootstrap\_functions.scss", "SCSS", 0, 0, 54, 0, 0, 0, 0, 19, 14, 87
